sample_type,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
line,470,0.025444,0.024531,0.024351,386,0.821277,0.029608,0.861702,470,0.012273,0.955357,224,0.151515,0.836364,55,0,1,0,0,12.295745,12.282979
region,119,0.082315,0.084714,0.084714,57,0.478992,0.077560,0.512605,119,0.085192,0.820513,39,0.200000,0.800000,5,0,0,0,0,34.739496,34.672269
page,169,0.105898,0.104330,0.104377,2,0.011834,0.107534,0.107143,168,0.062188,0.185430,151,0.189705,0.560000,125,0,8,1,1,370.887574,360.704142
