gt_length_bucket,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
001-020 chars,489,0.026713,0.025915,0.025741,406,0.830266,0.030976,0.869121,489,0.011987,0.959276,221,0.160256,0.826923,52,0,1,0,0,10.674847,10.664622
021-060 chars,89,0.122003,0.123659,0.123659,28,0.314607,0.137593,0.359551,89,0.062904,0.694444,36,0.142857,0.857143,7,0,0,0,0,39.921348,37.943820
061-200 chars,39,0.114736,0.116297,0.116470,10,0.256410,0.091659,0.307692,39,0.093189,0.703704,27,0.083333,0.500000,2,0,0,0,1,112.307692,85.051282
201+ chars,141,0.079824,0.078220,0.078229,1,0.007092,0.073169,0.107143,140,0.061787,0.138462,130,0.189891,0.564516,124,0,8,1,0,421.560284,418.078014
