scene,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
old_print_pdf,507,0.034428,0.034182,0.033934,356,0.702170,0.039019,0.756917,506,0.024413,0.713262,279,0.275397,0.597222,72,0,1,1,0,49.372781,49.165680
new_print_pdf,100,0.053475,0.049492,0.049477,71,0.710000,0.061976,0.800000,100,0.023500,0.903846,52,0.085106,0.914894,47,0,0,0,0,19.710000,18.220000
real_screen_photo,87,0.117566,0.113988,0.114567,1,0.011494,0.084740,0.045977,87,0.075399,0.263889,72,0.126430,0.523077,65,0,8,0,1,495.218391,478.195402
neat_handwriting,53,0.122555,0.130483,0.130483,7,0.132075,0.146028,0.132075,53,1.000000,0.000000,2,1.000000,0.000000,1,0,0,0,0,42.905660,42.905660
real_photo,11,0.011364,0.011858,0.011858,10,0.909091,0.014354,0.909091,11,0.000000,1.000000,9,,,0,0,0,0,0,21.090909,21.090909
