script_mix,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
yi_han,453,0.052458,0.051470,0.051303,247,0.545254,0.050244,0.615894,453,0.037003,0.650259,386,0.174240,0.622517,151,0,7,1,1,137.620309,134.238411
yi,276,0.046368,0.047393,0.047389,182,0.659420,0.050014,0.673913,276,,,0,0.197115,0.781250,32,0,1,0,0,30.971014,30.670290
yi_han_latin,26,0.056655,0.044260,0.044260,16,0.615385,0.109281,0.730769,26,0.045146,0.846154,26,0.428571,0.000000,1,0,1,0,0,43.115385,41.038462
han,2,0.370842,0.378802,0.378802,0,0.000000,0.805556,0.000000,1,0.002625,0.500000,2,0.000000,1.000000,1,0,0,0,0,279.000000,250.000000
other,1,0.875000,0.937500,0.937500,0,0.000000,1.000000,0.000000,1,,,0,,,0,0,0,0,0,24.000000,16.000000
