gt_lines_bucket,rows,avg_ned,avg_ws_ned,avg_nfkc_ws_ned,exact,exact_rate,yi_ned,yi_exact_rate,yi_rows,han_ned,han_exact_rate,han_rows,digit_ned,digit_exact_rate,digit_rows,replacement,latex,extra_ascii_letter,long_pred,avg_pred_len,avg_label_len
1 line,500,0.022846,0.022299,0.022129,421,0.842000,0.026963,0.876000,500,0.012384,0.954955,222,0.148810,0.839286,56,0,1,0,0,11.294000,11.310000
2-4 lines,75,0.159707,0.159906,0.159906,15,0.200000,0.135809,0.293333,75,0.065625,0.815789,38,0.333333,0.666667,3,0,0,0,1,57.520000,42.653333
5-12 lines,55,0.113500,0.113645,0.113645,8,0.145455,0.145162,0.218182,55,0.080662,0.531250,32,0.049784,0.714286,7,0,0,0,0,143.018182,138.509091
13+ lines,128,0.078185,0.076951,0.077013,1,0.007812,0.075277,0.094488,127,0.062606,0.114754,122,0.196342,0.554622,119,0,8,1,0,427.859375,424.890625
