difficulty,n,ned,exact,ws_ned,ws_exact,nfkc_ws_ned,nfkc_ws_exact,yi_ned,yi_exact,yi_rows,han_ned,han_exact,han_rows,digit_ned,digit_exact,digit_rows,replacement,latex,ascii_letter,ascii_any,long_pred
medium,324,0.027998,0.746914,0.025162,0.805556,0.025108,0.805556,0.027250,0.851852,324,0.014648,0.946768,263,0.115152,0.872727,55,0,2,1,23,0
easy,172,0.032480,0.656977,0.030533,0.662791,0.029743,0.662791,0.029917,0.680233,172,,,0,0.181818,0.818182,22,0,0,0,20,0
hard,107,0.066273,0.514019,0.067566,0.542056,0.067566,0.542056,0.085285,0.551402,107,0.125000,0.850000,20,0.250000,0.750000,4,0,0,17,61,0
