script_mix,n,ned,exact,ws_ned,ws_exact,nfkc_ws_ned,nfkc_ws_exact,yi_ned,yi_exact,yi_rows,han_ned,han_exact,han_rows,digit_ned,digit_exact,digit_rows,replacement,latex,ascii_letter,ascii_any,long_pred
yi,321,0.043960,0.638629,0.044091,0.641745,0.043667,0.641745,0.044939,0.654206,321,1.000000,0.000000,1,0.233333,0.766667,30,0,1,0,67,0
yi_han,265,0.026112,0.735849,0.022508,0.811321,0.022442,0.811321,0.026823,0.864151,265,0.018311,0.943396,265,0.084967,0.901961,51,0,1,1,20,0
yi_han_latin,17,0.042242,0.588235,0.030358,0.705882,0.030358,0.705882,0.092157,0.764706,17,0.029412,0.941176,17,,,0,0,0,17,17,0
