sample_type,n,ned,exact,ws_ned,ws_exact,nfkc_ws_ned,nfkc_ws_exact,yi_ned,yi_exact,yi_rows,han_ned,han_exact,han_rows,digit_ned,digit_exact,digit_rows,replacement,latex,ascii_letter,ascii_any,long_pred
line,515,0.028758,0.726214,0.025857,0.768932,0.025563,0.768932,0.028916,0.805825,515,0.015600,0.946237,279,0.134199,0.857143,77,0,2,18,53,0
region,84,0.079725,0.428571,0.084069,0.440476,0.084069,0.440476,0.094459,0.440476,84,0.500000,0.500000,4,0.250000,0.750000,4,0,0,0,47,0
page,4,0.060449,0.000000,0.063857,0.000000,0.063411,0.000000,0.068494,0.000000,4,,,0,,,0,0,0,0,4,0
