scene,n,ned,exact,ws_ned,ws_exact,nfkc_ws_ned,nfkc_ws_exact,yi_ned,yi_exact,yi_rows,han_ned,han_exact,han_rows,digit_ned,digit_exact,digit_rows,replacement,latex,ascii_letter,ascii_any,long_pred
new_print_pdf,309,0.029050,0.676375,0.024564,0.744337,0.024343,0.744337,0.024896,0.779935,309,0.010799,0.944882,127,0.085714,0.914286,70,0,1,18,50,0
old_print_pdf,235,0.025771,0.817021,0.025076,0.825532,0.024722,0.825532,0.031484,0.859574,235,0.019483,0.947712,153,0.433333,0.500000,10,0,1,0,4,0
neat_handwriting,53,0.122708,0.132075,0.130645,0.132075,0.130645,0.132075,0.146203,0.132075,53,1.000000,0.000000,2,1.000000,0.000000,1,0,0,0,46,0
screen_or_scene,6,0.035492,0.333333,0.037730,0.333333,0.037433,0.333333,0.043296,0.333333,6,0.000000,1.000000,1,,,0,0,0,0,4,0
