codepoint,char,unicode_name,romanization
U+A08F,ꂏ,Yi Syllable Nbyrx,nbyrx
U+A090,ꂐ,Yi Syllable Nbyr,nbyr
U+A091,ꂑ,Yi Syllable Hmit,hmit
U+A092,ꂒ,Yi Syllable Hmix,hmix
U+A093,ꂓ,Yi Syllable Hmi,hmi
U+A094,ꂔ,Yi Syllable Hmip,hmip
U+A095,ꂕ,Yi Syllable Hmiex,hmiex
U+A096,ꂖ,Yi Syllable Hmie,hmie
U+A097,ꂗ,Yi Syllable Hmiep,hmiep
U+A098,ꂘ,Yi Syllable Hmat,hmat
U+A099,ꂙ,Yi Syllable Hmax,hmax
U+A09A,ꂚ,Yi Syllable Hma,hma
U+A09B,ꂛ,Yi Syllable Hmap,hmap
U+A09C,ꂜ,Yi Syllable Hmuox,hmuox
U+A09D,ꂝ,Yi Syllable Hmuo,hmuo
U+A09E,ꂞ,Yi Syllable Hmuop,hmuop
U+A09F,ꂟ,Yi Syllable Hmot,hmot
U+A0A0,ꂠ,Yi Syllable Hmox,hmox
U+A0A1,ꂡ,Yi Syllable Hmo,hmo
U+A0A2,ꂢ,Yi Syllable Hmop,hmop
U+A0A3,ꂣ,Yi Syllable Hmut,hmut
U+A0A4,ꂤ,Yi Syllable Hmux,hmux
U+A0A5,ꂥ,Yi Syllable Hmu,hmu
U+A0A6,ꂦ,Yi Syllable Hmup,hmup
U+A0A7,ꂧ,Yi Syllable Hmurx,hmurx
U+A0A8,ꂨ,Yi Syllable Hmur,hmur
U+A0A9,ꂩ,Yi Syllable Hmyx,hmyx
U+A0AA,ꂪ,Yi Syllable Hmy,hmy
U+A0AB,ꂫ,Yi Syllable Hmyp,hmyp
U+A0AC,ꂬ,Yi Syllable Hmyrx,hmyrx
U+A0AD,ꂭ,Yi Syllable Hmyr,hmyr
U+A0AE,ꂮ,Yi Syllable Mit,mit
U+A0AF,ꂯ,Yi Syllable Mix,mix
U+A0B0,ꂰ,Yi Syllable Mi,mi
U+A0B1,ꂱ,Yi Syllable Mip,mip
U+A0B2,ꂲ,Yi Syllable Miex,miex
U+A0B3,ꂳ,Yi Syllable Mie,mie
U+A0B4,ꂴ,Yi Syllable Miep,miep
U+A0B5,ꂵ,Yi Syllable Mat,mat
U+A0B6,ꂶ,Yi Syllable Max,max
U+A0B7,ꂷ,Yi Syllable Ma,ma
U+A0B8,ꂸ,Yi Syllable Map,map
U+A0B9,ꂹ,Yi Syllable Muot,muot
U+A0BA,ꂺ,Yi Syllable Muox,muox
U+A0BB,ꂻ,Yi Syllable Muo,muo
U+A0BC,ꂼ,Yi Syllable Muop,muop
U+A0BD,ꂽ,Yi Syllable Mot,mot
U+A0BE,ꂾ,Yi Syllable Mox,mox
U+A0BF,ꂿ,Yi Syllable Mo,mo
U+A0C0,ꃀ,Yi Syllable Mop,mop
U+A0C1,ꃁ,Yi Syllable Mex,mex
U+A0C2,ꃂ,Yi Syllable Me,me
U+A0C3,ꃃ,Yi Syllable Mut,mut
U+A0C4,ꃄ,Yi Syllable Mux,mux
U+A0C5,ꃅ,Yi Syllable Mu,mu
U+A0C6,ꃆ,Yi Syllable Mup,mup
U+A0C7,ꃇ,Yi Syllable Murx,murx
U+A0C8,ꃈ,Yi Syllable Mur,mur
U+A0C9,ꃉ,Yi Syllable Myt,myt
U+A0CA,ꃊ,Yi Syllable Myx,myx
U+A0CB,ꃋ,Yi Syllable My,my
U+A0CC,ꃌ,Yi Syllable Myp,myp
U+A0CD,ꃍ,Yi Syllable Fit,fit
U+A0CE,ꃎ,Yi Syllable Fix,fix
U+A0CF,ꃏ,Yi Syllable Fi,fi
U+A0D0,ꃐ,Yi Syllable Fip,fip
U+A0D1,ꃑ,Yi Syllable Fat,fat
U+A0D2,ꃒ,Yi Syllable Fax,fax
U+A0D3,ꃓ,Yi Syllable Fa,fa
U+A0D4,ꃔ,Yi Syllable Fap,fap
U+A0D5,ꃕ,Yi Syllable Fox,fox
U+A0D6,ꃖ,Yi Syllable Fo,fo
U+A0D7,ꃗ,Yi Syllable Fop,fop
U+A0D8,ꃘ,Yi Syllable Fut,fut
U+A0D9,ꃙ,Yi Syllable Fux,fux
U+A0DA,ꃚ,Yi Syllable Fu,fu
U+A0DB,ꃛ,Yi Syllable Fup,fup
U+A0DC,ꃜ,Yi Syllable Furx,furx
U+A0DD,ꃝ,Yi Syllable Fur,fur
U+A0DE,ꃞ,Yi Syllable Fyt,fyt
U+A0DF,ꃟ,Yi Syllable Fyx,fyx
U+A0E0,ꃠ,Yi Syllable Fy,fy
U+A0E1,ꃡ,Yi Syllable Fyp,fyp
U+A0E2,ꃢ,Yi Syllable Vit,vit
U+A0E3,ꃣ,Yi Syllable Vix,vix
U+A0E4,ꃤ,Yi Syllable Vi,vi
U+A0E5,ꃥ,Yi Syllable Vip,vip
U+A0E6,ꃦ,Yi Syllable Viet,viet
U+A0E7,ꃧ,Yi Syllable Viex,viex
U+A0E8,ꃨ,Yi Syllable Vie,vie
U+A0E9,ꃩ,Yi Syllable Viep,viep
U+A0EA,ꃪ,Yi Syllable Vat,vat
U+A0EB,ꃫ,Yi Syllable Vax,vax
U+A0EC,ꃬ,Yi Syllable Va,va
U+A0ED,ꃭ,Yi Syllable Vap,vap
U+A0EE,ꃮ,Yi Syllable Vot,vot
U+A0EF,ꃯ,Yi Syllable Vox,vox
U+A0F0,ꃰ,Yi Syllable Vo,vo
U+A0F1,ꃱ,Yi Syllable Vop,vop
U+A0F2,ꃲ,Yi Syllable Vex,vex
U+A0F3,ꃳ,Yi Syllable Vep,vep
U+A0F4,ꃴ,Yi Syllable Vut,vut
U+A0F5,ꃵ,Yi Syllable Vux,vux
U+A0F6,ꃶ,Yi Syllable Vu,vu
U+A0F7,ꃷ,Yi Syllable Vup,vup
U+A0F8,ꃸ,Yi Syllable Vurx,vurx
U+A0F9,ꃹ,Yi Syllable Vur,vur
U+A0FA,ꃺ,Yi Syllable Vyt,vyt
U+A0FB,ꃻ,Yi Syllable Vyx,vyx
U+A0FC,ꃼ,Yi Syllable Vy,vy
U+A0FD,ꃽ,Yi Syllable Vyp,vyp
U+A0FE,ꃾ,Yi Syllable Vyrx,vyrx
U+A0FF,ꃿ,Yi Syllable Vyr,vyr
U+A100,ꄀ,Yi Syllable Dit,dit
U+A101,ꄁ,Yi Syllable Dix,dix
U+A102,ꄂ,Yi Syllable Di,di
U+A103,ꄃ,Yi Syllable Dip,dip
U+A104,ꄄ,Yi Syllable Diex,diex
U+A105,ꄅ,Yi Syllable Die,die
U+A106,ꄆ,Yi Syllable Diep,diep
U+A107,ꄇ,Yi Syllable Dat,dat
U+A108,ꄈ,Yi Syllable Dax,dax
U+A109,ꄉ,Yi Syllable Da,da
U+A10A,ꄊ,Yi Syllable Dap,dap
U+A10B,ꄋ,Yi Syllable Duox,duox
U+A10C,ꄌ,Yi Syllable Duo,duo
U+A10D,ꄍ,Yi Syllable Dot,dot
U+A10E,ꄎ,Yi Syllable Dox,dox
U+A10F,ꄏ,Yi Syllable Do,do
U+A110,ꄐ,Yi Syllable Dop,dop
U+A111,ꄑ,Yi Syllable Dex,dex
U+A112,ꄒ,Yi Syllable De,de
U+A113,ꄓ,Yi Syllable Dep,dep
U+A114,ꄔ,Yi Syllable Dut,dut
U+A115,ꄕ,Yi Syllable Dux,dux
U+A116,ꄖ,Yi Syllable Du,du
U+A117,ꄗ,Yi Syllable Dup,dup
U+A118,ꄘ,Yi Syllable Durx,durx
U+A119,ꄙ,Yi Syllable Dur,dur
U+A11A,ꄚ,Yi Syllable Tit,tit
U+A11B,ꄛ,Yi Syllable Tix,tix
U+A11C,ꄜ,Yi Syllable Ti,ti
U+A11D,ꄝ,Yi Syllable Tip,tip
U+A11E,ꄞ,Yi Syllable Tiex,tiex
U+A11F,ꄟ,Yi Syllable Tie,tie
U+A120,ꄠ,Yi Syllable Tiep,tiep
U+A121,ꄡ,Yi Syllable Tat,tat
U+A122,ꄢ,Yi Syllable Tax,tax
U+A123,ꄣ,Yi Syllable Ta,ta
U+A124,ꄤ,Yi Syllable Tap,tap
U+A125,ꄥ,Yi Syllable Tuot,tuot
U+A126,ꄦ,Yi Syllable Tuox,tuox
U+A127,ꄧ,Yi Syllable Tuo,tuo
U+A128,ꄨ,Yi Syllable Tuop,tuop
U+A129,ꄩ,Yi Syllable Tot,tot
U+A12A,ꄪ,Yi Syllable Tox,tox
U+A12B,ꄫ,Yi Syllable To,to
U+A12C,ꄬ,Yi Syllable Top,top
U+A12D,ꄭ,Yi Syllable Tex,tex
U+A12E,ꄮ,Yi Syllable Te,te
U+A12F,ꄯ,Yi Syllable Tep,tep
U+A130,ꄰ,Yi Syllable Tut,tut
U+A131,ꄱ,Yi Syllable Tux,tux
U+A132,ꄲ,Yi Syllable Tu,tu
U+A133,ꄳ,Yi Syllable Tup,tup
U+A134,ꄴ,Yi Syllable Turx,turx
U+A135,ꄵ,Yi Syllable Tur,tur
U+A136,ꄶ,Yi Syllable Ddit,ddit
U+A137,ꄷ,Yi Syllable Ddix,ddix
U+A138,ꄸ,Yi Syllable Ddi,ddi
U+A139,ꄹ,Yi Syllable Ddip,ddip
U+A13A,ꄺ,Yi Syllable Ddiex,ddiex
U+A13B,ꄻ,Yi Syllable Ddie,ddie
U+A13C,ꄼ,Yi Syllable Ddiep,ddiep
U+A13D,ꄽ,Yi Syllable Ddat,ddat
U+A13E,ꄾ,Yi Syllable Ddax,ddax
U+A13F,ꄿ,Yi Syllable Dda,dda
U+A140,ꅀ,Yi Syllable Ddap,ddap
U+A141,ꅁ,Yi Syllable Dduox,dduox
U+A142,ꅂ,Yi Syllable Dduo,dduo
U+A143,ꅃ,Yi Syllable Dduop,dduop
U+A144,ꅄ,Yi Syllable Ddot,ddot
U+A145,ꅅ,Yi Syllable Ddox,ddox
U+A146,ꅆ,Yi Syllable Ddo,ddo
U+A147,ꅇ,Yi Syllable Ddop,ddop
U+A148,ꅈ,Yi Syllable Ddex,ddex
U+A149,ꅉ,Yi Syllable Dde,dde
U+A14A,ꅊ,Yi Syllable Ddep,ddep
U+A14B,ꅋ,Yi Syllable Ddut,ddut
U+A14C,ꅌ,Yi Syllable Ddux,ddux
U+A14D,ꅍ,Yi Syllable Ddu,ddu
U+A14E,ꅎ,Yi Syllable Ddup,ddup
U+A14F,ꅏ,Yi Syllable Ddurx,ddurx
U+A150,ꅐ,Yi Syllable Ddur,ddur
U+A151,ꅑ,Yi Syllable Ndit,ndit
U+A152,ꅒ,Yi Syllable Ndix,ndix
U+A153,ꅓ,Yi Syllable Ndi,ndi
U+A154,ꅔ,Yi Syllable Ndip,ndip
U+A155,ꅕ,Yi Syllable Ndiex,ndiex
U+A156,ꅖ,Yi Syllable Ndie,ndie
U+A157,ꅗ,Yi Syllable Ndat,ndat
U+A158,ꅘ,Yi Syllable Ndax,ndax
U+A159,ꅙ,Yi Syllable Nda,nda
U+A15A,ꅚ,Yi Syllable Ndap,ndap
U+A15B,ꅛ,Yi Syllable Ndot,ndot
U+A15C,ꅜ,Yi Syllable Ndox,ndox
U+A15D,ꅝ,Yi Syllable Ndo,ndo
U+A15E,ꅞ,Yi Syllable Ndop,ndop
U+A15F,ꅟ,Yi Syllable Ndex,ndex
U+A160,ꅠ,Yi Syllable Nde,nde
U+A161,ꅡ,Yi Syllable Ndep,ndep
U+A162,ꅢ,Yi Syllable Ndut,ndut
U+A163,ꅣ,Yi Syllable Ndux,ndux
U+A164,ꅤ,Yi Syllable Ndu,ndu
U+A165,ꅥ,Yi Syllable Ndup,ndup
U+A166,ꅦ,Yi Syllable Ndurx,ndurx
U+A167,ꅧ,Yi Syllable Ndur,ndur
U+A168,ꅨ,Yi Syllable Hnit,hnit
U+A169,ꅩ,Yi Syllable Hnix,hnix
U+A16A,ꅪ,Yi Syllable Hni,hni
U+A16B,ꅫ,Yi Syllable Hnip,hnip
U+A16C,ꅬ,Yi Syllable Hniet,hniet
U+A16D,ꅭ,Yi Syllable Hniex,hniex
U+A16E,ꅮ,Yi Syllable Hnie,hnie
U+A16F,ꅯ,Yi Syllable Hniep,hniep
U+A170,ꅰ,Yi Syllable Hnat,hnat
U+A171,ꅱ,Yi Syllable Hnax,hnax
U+A172,ꅲ,Yi Syllable Hna,hna
U+A173,ꅳ,Yi Syllable Hnap,hnap
U+A174,ꅴ,Yi Syllable Hnuox,hnuox
U+A175,ꅵ,Yi Syllable Hnuo,hnuo
U+A176,ꅶ,Yi Syllable Hnot,hnot
U+A177,ꅷ,Yi Syllable Hnox,hnox
U+A178,ꅸ,Yi Syllable Hnop,hnop
U+A179,ꅹ,Yi Syllable Hnex,hnex
U+A17A,ꅺ,Yi Syllable Hne,hne
U+A17B,ꅻ,Yi Syllable Hnep,hnep
U+A17C,ꅼ,Yi Syllable Hnut,hnut
U+A17D,ꅽ,Yi Syllable Nit,nit
U+A17E,ꅾ,Yi Syllable Nix,nix
U+A17F,ꅿ,Yi Syllable Ni,ni
U+A180,ꆀ,Yi Syllable Nip,nip
U+A181,ꆁ,Yi Syllable Niex,niex
U+A182,ꆂ,Yi Syllable Nie,nie
U+A183,ꆃ,Yi Syllable Niep,niep
U+A184,ꆄ,Yi Syllable Nax,nax
U+A185,ꆅ,Yi Syllable Na,na
U+A186,ꆆ,Yi Syllable Nap,nap
U+A187,ꆇ,Yi Syllable Nuox,nuox
U+A188,ꆈ,Yi Syllable Nuo,nuo
U+A189,ꆉ,Yi Syllable Nuop,nuop
U+A18A,ꆊ,Yi Syllable Not,not
U+A18B,ꆋ,Yi Syllable Nox,nox
U+A18C,ꆌ,Yi Syllable No,no
U+A18D,ꆍ,Yi Syllable Nop,nop
U+A18E,ꆎ,Yi Syllable Nex,nex
U+A18F,ꆏ,Yi Syllable Ne,ne
U+A190,ꆐ,Yi Syllable Nep,nep
U+A191,ꆑ,Yi Syllable Nut,nut
U+A192,ꆒ,Yi Syllable Nux,nux
U+A193,ꆓ,Yi Syllable Nu,nu
U+A194,ꆔ,Yi Syllable Nup,nup
U+A195,ꆕ,Yi Syllable Nurx,nurx
U+A196,ꆖ,Yi Syllable Nur,nur
U+A197,ꆗ,Yi Syllable Hlit,hlit
U+A198,ꆘ,Yi Syllable Hlix,hlix
U+A199,ꆙ,Yi Syllable Hli,hli
U+A19A,ꆚ,Yi Syllable Hlip,hlip
U+A19B,ꆛ,Yi Syllable Hliex,hliex
U+A19C,ꆜ,Yi Syllable Hlie,hlie
U+A19D,ꆝ,Yi Syllable Hliep,hliep
U+A19E,ꆞ,Yi Syllable Hlat,hlat
U+A19F,ꆟ,Yi Syllable Hlax,hlax
U+A1A0,ꆠ,Yi Syllable Hla,hla
U+A1A1,ꆡ,Yi Syllable Hlap,hlap
U+A1A2,ꆢ,Yi Syllable Hluox,hluox
U+A1A3,ꆣ,Yi Syllable Hluo,hluo
U+A1A4,ꆤ,Yi Syllable Hluop,hluop
U+A1A5,ꆥ,Yi Syllable Hlox,hlox
U+A1A6,ꆦ,Yi Syllable Hlo,hlo
U+A1A7,ꆧ,Yi Syllable Hlop,hlop
U+A1A8,ꆨ,Yi Syllable Hlex,hlex
U+A1A9,ꆩ,Yi Syllable Hle,hle
U+A1AA,ꆪ,Yi Syllable Hlep,hlep
U+A1AB,ꆫ,Yi Syllable Hlut,hlut
U+A1AC,ꆬ,Yi Syllable Hlux,hlux
U+A1AD,ꆭ,Yi Syllable Hlu,hlu
U+A1AE,ꆮ,Yi Syllable Hlup,hlup
U+A1AF,ꆯ,Yi Syllable Hlurx,hlurx
U+A1B0,ꆰ,Yi Syllable Hlur,hlur
U+A1B1,ꆱ,Yi Syllable Hlyt,hlyt
U+A1B2,ꆲ,Yi Syllable Hlyx,hlyx
U+A1B3,ꆳ,Yi Syllable Hly,hly
U+A1B4,ꆴ,Yi Syllable Hlyp,hlyp
U+A1B5,ꆵ,Yi Syllable Hlyrx,hlyrx
U+A1B6,ꆶ,Yi Syllable Hlyr,hlyr
U+A1B7,ꆷ,Yi Syllable Lit,lit
U+A1B8,ꆸ,Yi Syllable Lix,lix
U+A1B9,ꆹ,Yi Syllable Li,li
U+A1BA,ꆺ,Yi Syllable Lip,lip
U+A1BB,ꆻ,Yi Syllable Liet,liet
U+A1BC,ꆼ,Yi Syllable Liex,liex
U+A1BD,ꆽ,Yi Syllable Lie,lie
U+A1BE,ꆾ,Yi Syllable Liep,liep
U+A1BF,ꆿ,Yi Syllable Lat,lat
U+A1C0,ꇀ,Yi Syllable Lax,lax
U+A1C1,ꇁ,Yi Syllable La,la
U+A1C2,ꇂ,Yi Syllable Lap,lap
U+A1C3,ꇃ,Yi Syllable Luot,luot
U+A1C4,ꇄ,Yi Syllable Luox,luox
U+A1C5,ꇅ,Yi Syllable Luo,luo
U+A1C6,ꇆ,Yi Syllable Luop,luop
U+A1C7,ꇇ,Yi Syllable Lot,lot
U+A1C8,ꇈ,Yi Syllable Lox,lox
U+A1C9,ꇉ,Yi Syllable Lo,lo
U+A1CA,ꇊ,Yi Syllable Lop,lop
U+A1CB,ꇋ,Yi Syllable Lex,lex
U+A1CC,ꇌ,Yi Syllable Le,le
U+A1CD,ꇍ,Yi Syllable Lep,lep
U+A1CE,ꇎ,Yi Syllable Lut,lut
U+A1CF,ꇏ,Yi Syllable Lux,lux
U+A1D0,ꇐ,Yi Syllable Lu,lu
U+A1D1,ꇑ,Yi Syllable Lup,lup
U+A1D2,ꇒ,Yi Syllable Lurx,lurx
U+A1D3,ꇓ,Yi Syllable Lur,lur
U+A1D4,ꇔ,Yi Syllable Lyt,lyt
U+A1D5,ꇕ,Yi Syllable Lyx,lyx
U+A1D6,ꇖ,Yi Syllable Ly,ly
U+A1D7,ꇗ,Yi Syllable Lyp,lyp
U+A1D8,ꇘ,Yi Syllable Lyrx,lyrx
U+A1D9,ꇙ,Yi Syllable Lyr,lyr
U+A1DA,ꇚ,Yi Syllable Git,git
U+A1DB,ꇛ,Yi Syllable Gix,gix
U+A1DC,ꇜ,Yi Syllable Gi,gi
U+A1DD,ꇝ,Yi Syllable Gip,gip
U+A1DE,ꇞ,Yi Syllable Giet,giet
U+A1DF,ꇟ,Yi Syllable Giex,giex
U+A1E0,ꇠ,Yi Syllable Gie,gie
U+A1E1,ꇡ,Yi Syllable Giep,giep
U+A1E2,ꇢ,Yi Syllable Gat,gat
U+A1E3,ꇣ,Yi Syllable Gax,gax
U+A1E4,ꇤ,Yi Syllable Ga,ga
U+A1E5,ꇥ,Yi Syllable Gap,gap
U+A1E6,ꇦ,Yi Syllable Guot,guot
U+A1E7,ꇧ,Yi Syllable Guox,guox
U+A1E8,ꇨ,Yi Syllable Guo,guo
U+A1E9,ꇩ,Yi Syllable Guop,guop
U+A1EA,ꇪ,Yi Syllable Got,got
U+A1EB,ꇫ,Yi Syllable Gox,gox
U+A1EC,ꇬ,Yi Syllable Go,go
U+A1ED,ꇭ,Yi Syllable Gop,gop
U+A1EE,ꇮ,Yi Syllable Get,get
U+A1EF,ꇯ,Yi Syllable Gex,gex
U+A1F0,ꇰ,Yi Syllable Ge,ge
U+A1F1,ꇱ,Yi Syllable Gep,gep
U+A1F2,ꇲ,Yi Syllable Gut,gut
U+A1F3,ꇳ,Yi Syllable Gux,gux
U+A1F4,ꇴ,Yi Syllable Gu,gu
U+A1F5,ꇵ,Yi Syllable Gup,gup
U+A1F6,ꇶ,Yi Syllable Gurx,gurx
U+A1F7,ꇷ,Yi Syllable Gur,gur
U+A1F8,ꇸ,Yi Syllable Kit,kit
U+A1F9,ꇹ,Yi Syllable Kix,kix
U+A1FA,ꇺ,Yi Syllable Ki,ki
U+A1FB,ꇻ,Yi Syllable Kip,kip
U+A1FC,ꇼ,Yi Syllable Kiex,kiex
U+A1FD,ꇽ,Yi Syllable Kie,kie
U+A1FE,ꇾ,Yi Syllable Kiep,kiep
U+A1FF,ꇿ,Yi Syllable Kat,kat
U+A200,ꈀ,Yi Syllable Kax,kax
U+A201,ꈁ,Yi Syllable Ka,ka
U+A202,ꈂ,Yi Syllable Kap,kap
U+A203,ꈃ,Yi Syllable Kuox,kuox
U+A204,ꈄ,Yi Syllable Kuo,kuo
U+A205,ꈅ,Yi Syllable Kuop,kuop
U+A206,ꈆ,Yi Syllable Kot,kot
U+A207,ꈇ,Yi Syllable Kox,kox
U+A208,ꈈ,Yi Syllable Ko,ko
U+A209,ꈉ,Yi Syllable Kop,kop
U+A20A,ꈊ,Yi Syllable Ket,ket
U+A20B,ꈋ,Yi Syllable Kex,kex
U+A20C,ꈌ,Yi Syllable Ke,ke
U+A20D,ꈍ,Yi Syllable Kep,kep
U+A20E,ꈎ,Yi Syllable Kut,kut
U+A20F,ꈏ,Yi Syllable Kux,kux
U+A210,ꈐ,Yi Syllable Ku,ku
U+A211,ꈑ,Yi Syllable Kup,kup
U+A212,ꈒ,Yi Syllable Kurx,kurx
U+A213,ꈓ,Yi Syllable Kur,kur
U+A214,ꈔ,Yi Syllable Ggit,ggit
U+A215,ꈕ,Yi Syllable Ggix,ggix
U+A216,ꈖ,Yi Syllable Ggi,ggi
U+A217,ꈗ,Yi Syllable Ggiex,ggiex
U+A218,ꈘ,Yi Syllable Ggie,ggie
U+A219,ꈙ,Yi Syllable Ggiep,ggiep
U+A21A,ꈚ,Yi Syllable Ggat,ggat
U+A21B,ꈛ,Yi Syllable Ggax,ggax
U+A21C,ꈜ,Yi Syllable Gga,gga
U+A21D,ꈝ,Yi Syllable Ggap,ggap
U+A21E,ꈞ,Yi Syllable Gguot,gguot
U+A21F,ꈟ,Yi Syllable Gguox,gguox
U+A220,ꈠ,Yi Syllable Gguo,gguo
U+A221,ꈡ,Yi Syllable Gguop,gguop
U+A222,ꈢ,Yi Syllable Ggot,ggot
U+A223,ꈣ,Yi Syllable Ggox,ggox
U+A224,ꈤ,Yi Syllable Ggo,ggo
U+A225,ꈥ,Yi Syllable Ggop,ggop
U+A226,ꈦ,Yi Syllable Gget,gget
U+A227,ꈧ,Yi Syllable Ggex,ggex
U+A228,ꈨ,Yi Syllable Gge,gge
U+A229,ꈩ,Yi Syllable Ggep,ggep
U+A22A,ꈪ,Yi Syllable Ggut,ggut
U+A22B,ꈫ,Yi Syllable Ggux,ggux
U+A22C,ꈬ,Yi Syllable Ggu,ggu
U+A22D,ꈭ,Yi Syllable Ggup,ggup
U+A22E,ꈮ,Yi Syllable Ggurx,ggurx
U+A22F,ꈯ,Yi Syllable Ggur,ggur
U+A230,ꈰ,Yi Syllable Mgiex,mgiex
U+A231,ꈱ,Yi Syllable Mgie,mgie
U+A232,ꈲ,Yi Syllable Mgat,mgat
U+A233,ꈳ,Yi Syllable Mgax,mgax
U+A234,ꈴ,Yi Syllable Mga,mga
U+A235,ꈵ,Yi Syllable Mgap,mgap
U+A236,ꈶ,Yi Syllable Mguox,mguox
U+A237,ꈷ,Yi Syllable Mguo,mguo
U+A238,ꈸ,Yi Syllable Mguop,mguop
U+A239,ꈹ,Yi Syllable Mgot,mgot
U+A23A,ꈺ,Yi Syllable Mgox,mgox
U+A23B,ꈻ,Yi Syllable Mgo,mgo
U+A23C,ꈼ,Yi Syllable Mgop,mgop
U+A23D,ꈽ,Yi Syllable Mgex,mgex
U+A23E,ꈾ,Yi Syllable Mge,mge
U+A23F,ꈿ,Yi Syllable Mgep,mgep
U+A240,ꉀ,Yi Syllable Mgut,mgut
U+A241,ꉁ,Yi Syllable Mgux,mgux
U+A242,ꉂ,Yi Syllable Mgu,mgu
U+A243,ꉃ,Yi Syllable Mgup,mgup
U+A244,ꉄ,Yi Syllable Mgurx,mgurx
U+A245,ꉅ,Yi Syllable Mgur,mgur
U+A246,ꉆ,Yi Syllable Hxit,hxit
U+A247,ꉇ,Yi Syllable Hxix,hxix
U+A248,ꉈ,Yi Syllable Hxi,hxi
U+A249,ꉉ,Yi Syllable Hxip,hxip
U+A24A,ꉊ,Yi Syllable Hxiet,hxiet
U+A24B,ꉋ,Yi Syllable Hxiex,hxiex
U+A24C,ꉌ,Yi Syllable Hxie,hxie
U+A24D,ꉍ,Yi Syllable Hxiep,hxiep
U+A24E,ꉎ,Yi Syllable Hxat,hxat
U+A24F,ꉏ,Yi Syllable Hxax,hxax
U+A250,ꉐ,Yi Syllable Hxa,hxa
U+A251,ꉑ,Yi Syllable Hxap,hxap
U+A252,ꉒ,Yi Syllable Hxuot,hxuot
U+A253,ꉓ,Yi Syllable Hxuox,hxuox
U+A254,ꉔ,Yi Syllable Hxuo,hxuo
U+A255,ꉕ,Yi Syllable Hxuop,hxuop
U+A256,ꉖ,Yi Syllable Hxot,hxot
U+A257,ꉗ,Yi Syllable Hxox,hxox
U+A258,ꉘ,Yi Syllable Hxo,hxo
U+A259,ꉙ,Yi Syllable Hxop,hxop
U+A25A,ꉚ,Yi Syllable Hxex,hxex
U+A25B,ꉛ,Yi Syllable Hxe,hxe
U+A25C,ꉜ,Yi Syllable Hxep,hxep
U+A25D,ꉝ,Yi Syllable Ngiex,ngiex
U+A25E,ꉞ,Yi Syllable Ngie,ngie
U+A25F,ꉟ,Yi Syllable Ngiep,ngiep
U+A260,ꉠ,Yi Syllable Ngat,ngat
U+A261,ꉡ,Yi Syllable Ngax,ngax
U+A262,ꉢ,Yi Syllable Nga,nga
U+A263,ꉣ,Yi Syllable Ngap,ngap
U+A264,ꉤ,Yi Syllable Nguot,nguot
U+A265,ꉥ,Yi Syllable Nguox,nguox
U+A266,ꉦ,Yi Syllable Nguo,nguo
U+A267,ꉧ,Yi Syllable Ngot,ngot
U+A268,ꉨ,Yi Syllable Ngox,ngox
U+A269,ꉩ,Yi Syllable Ngo,ngo
U+A26A,ꉪ,Yi Syllable Ngop,ngop
U+A26B,ꉫ,Yi Syllable Ngex,ngex
U+A26C,ꉬ,Yi Syllable Nge,nge
U+A26D,ꉭ,Yi Syllable Ngep,ngep
U+A26E,ꉮ,Yi Syllable Hit,hit
U+A26F,ꉯ,Yi Syllable Hiex,hiex
U+A270,ꉰ,Yi Syllable Hie,hie
U+A271,ꉱ,Yi Syllable Hat,hat
U+A272,ꉲ,Yi Syllable Hax,hax
U+A273,ꉳ,Yi Syllable Ha,ha
U+A274,ꉴ,Yi Syllable Hap,hap
U+A275,ꉵ,Yi Syllable Huot,huot
U+A276,ꉶ,Yi Syllable Huox,huox
U+A277,ꉷ,Yi Syllable Huo,huo
U+A278,ꉸ,Yi Syllable Huop,huop
U+A279,ꉹ,Yi Syllable Hot,hot
U+A27A,ꉺ,Yi Syllable Hox,hox
U+A27B,ꉻ,Yi Syllable Ho,ho
U+A27C,ꉼ,Yi Syllable Hop,hop
U+A27D,ꉽ,Yi Syllable Hex,hex
U+A27E,ꉾ,Yi Syllable He,he
U+A27F,ꉿ,Yi Syllable Hep,hep
U+A280,ꊀ,Yi Syllable Wat,wat
U+A281,ꊁ,Yi Syllable Wax,wax
U+A282,ꊂ,Yi Syllable Wa,wa
U+A283,ꊃ,Yi Syllable Wap,wap
U+A284,ꊄ,Yi Syllable Wuox,wuox
U+A285,ꊅ,Yi Syllable Wuo,wuo
U+A286,ꊆ,Yi Syllable Wuop,wuop
U+A287,ꊇ,Yi Syllable Wox,wox
U+A288,ꊈ,Yi Syllable Wo,wo
U+A289,ꊉ,Yi Syllable Wop,wop
U+A28A,ꊊ,Yi Syllable Wex,wex
U+A28B,ꊋ,Yi Syllable We,we
U+A28C,ꊌ,Yi Syllable Wep,wep
U+A28D,ꊍ,Yi Syllable Zit,zit
U+A28E,ꊎ,Yi Syllable Zix,zix
U+A28F,ꊏ,Yi Syllable Zi,zi
U+A290,ꊐ,Yi Syllable Zip,zip
U+A291,ꊑ,Yi Syllable Ziex,ziex
U+A292,ꊒ,Yi Syllable Zie,zie
U+A293,ꊓ,Yi Syllable Ziep,ziep
U+A294,ꊔ,Yi Syllable Zat,zat
