codepoint,char,unicode_name,romanization
U+A3A4,ꎤ,Yi Syllable Nrur,nrur
U+A3A5,ꎥ,Yi Syllable Nryt,nryt
U+A3A6,ꎦ,Yi Syllable Nryx,nryx
U+A3A7,ꎧ,Yi Syllable Nry,nry
U+A3A8,ꎨ,Yi Syllable Nryp,nryp
U+A3A9,ꎩ,Yi Syllable Nryrx,nryrx
U+A3AA,ꎪ,Yi Syllable Nryr,nryr
U+A3AB,ꎫ,Yi Syllable Shat,shat
U+A3AC,ꎬ,Yi Syllable Shax,shax
U+A3AD,ꎭ,Yi Syllable Sha,sha
U+A3AE,ꎮ,Yi Syllable Shap,shap
U+A3AF,ꎯ,Yi Syllable Shuox,shuox
U+A3B0,ꎰ,Yi Syllable Shuo,shuo
U+A3B1,ꎱ,Yi Syllable Shuop,shuop
U+A3B2,ꎲ,Yi Syllable Shot,shot
U+A3B3,ꎳ,Yi Syllable Shox,shox
U+A3B4,ꎴ,Yi Syllable Sho,sho
U+A3B5,ꎵ,Yi Syllable Shop,shop
U+A3B6,ꎶ,Yi Syllable Shet,shet
U+A3B7,ꎷ,Yi Syllable Shex,shex
U+A3B8,ꎸ,Yi Syllable She,she
U+A3B9,ꎹ,Yi Syllable Shep,shep
U+A3BA,ꎺ,Yi Syllable Shut,shut
U+A3BB,ꎻ,Yi Syllable Shux,shux
U+A3BC,ꎼ,Yi Syllable Shu,shu
U+A3BD,ꎽ,Yi Syllable Shup,shup
U+A3BE,ꎾ,Yi Syllable Shurx,shurx
U+A3BF,ꎿ,Yi Syllable Shur,shur
U+A3C0,ꏀ,Yi Syllable Shyt,shyt
U+A3C1,ꏁ,Yi Syllable Shyx,shyx
U+A3C2,ꏂ,Yi Syllable Shy,shy
U+A3C3,ꏃ,Yi Syllable Shyp,shyp
U+A3C4,ꏄ,Yi Syllable Shyrx,shyrx
U+A3C5,ꏅ,Yi Syllable Shyr,shyr
U+A3C6,ꏆ,Yi Syllable Rat,rat
U+A3C7,ꏇ,Yi Syllable Rax,rax
